no;TRUE;comply;response
1;0;1;1
2;0;1;1
3;0;1;1
4;1;1;0
5;1;1;0
6;0;1;0
7;1;1;0
8;0;1;1
9;0;1;1
10;0;1;1
11;0;1;1
12;0;1;1
13;0;1;1
14;0;1;1
15;0;1;0
16;1;1;0
17;0;1;1
18;0;1;0
19;0;1;1
20;0;1;1
21;0;1;1
22;1;1;0
23;0;1;1
24;0;1;1
25;1;1;0
26;0;1;1
27;0;1;1
28;0;1;1
29;0;1;1
30;0;1;0
31;0;1;1
32;0;1;1
33;0;1;1
34;0;1;1
35;0;1;0
36;0;1;1
37;0;1;1
38;0;1;1
39;0;1;1
40;0;1;1
41;1;1;1
42;1;1;0
43;0;1;1
44;0;1;1
45;0;1;0
46;0;1;0
47;0;1;1
48;0;1;1
49;1;1;0
50;1;1;0
51;1;1;1
52;1;1;0
53;1;1;0
54;0;1;0
55;0;1;1
56;0;1;1
57;0;1;0
58;0;1;1
59;0;1;1
60;1;1;0
61;1;1;0
62;0;1;0
63;0;1;1
64;0;1;1
65;0;1;1
66;1;1;0
67;0;1;1
68;0;1;1
69;1;1;0
70;0;1;1
71;1;1;0
72;1;1;0
73;1;1;0
74;1;1;1
75;0;1;1
76;0;1;1
77;0;1;1
78;0;1;1
79;0;1;1
80;0;1;0
81;0;1;1
82;0;1;1
83;0;1;1
84;0;1;1
85;1;1;1
86;0;1;1
87;0;1;1
88;0;1;1
89;1;1;0
90;0;1;1
91;1;1;1
92;0;1;1
93;0;1;1
94;0;1;1
95;1;1;0
96;1;1;0
97;1;1;0
98;0;1;0
99;0;1;1
100;0;1;1
101;1;1;0
102;1;1;0
103;0;1;1
104;1;1;0
105;1;1;0
106;0;1;1
107;0;1;1
108;1;1;0
109;1;1;0
110;0;1;0
111;0;1;1
112;1;1;0
113;0;1;0
114;0;1;1
115;0;1;1
116;0;1;0
117;0;1;1
118;1;1;0
119;0;1;1
120;0;1;1
121;0;1;1
122;0;1;1
123;1;1;0
124;0;1;1
125;0;1;1
126;0;1;1
127;1;1;1
128;0;1;0
129;0;1;0
130;0;1;1
131;0;1;1
132;1;1;0
133;1;1;0
134;0;1;1
135;1;1;0
136;1;1;0
137;0;1;1
138;0;1;1
139;0;1;1
140;0;1;1
141;1;1;0
142;0;1;1
143;0;1;0
144;1;1;0
145;0;1;1
146;0;1;1
147;0;1;1
148;0;1;0
149;0;1;1
150;0;1;1
151;1;1;0
152;0;1;1
153;1;1;0
154;1;1;0
155;0;1;0
156;0;1;1
157;0;1;1
158;1;1;0
159;0;1;1
160;0;1;1
161;0;1;1
162;0;1;1
163;0;1;1
164;0;1;1
165;0;1;1
166;0;1;1
167;0;1;1
168;0;1;1
169;0;1;1
170;1;1;0
171;0;1;1
172;0;1;1
173;0;1;1
174;1;1;0
175;0;1;1
176;0;1;1
177;1;1;0
178;0;1;1
179;0;1;1
180;0;1;1
181;0;1;1
182;0;1;1
183;0;1;1
184;1;1;0
185;1;1;0
186;0;1;1
187;0;1;1
188;1;1;0
189;0;1;1
190;0;1;1
191;0;1;1
192;0;1;1
193;0;1;1
194;1;1;0
195;0;1;1
196;0;1;1
197;1;1;0
198;0;1;1
199;1;1;1
200;0;1;1
201;1;1;0
202;1;1;0
203;0;1;1
204;1;1;0
205;0;1;1
206;1;1;0
207;0;1;1
208;0;1;1
209;1;1;0
210;0;1;1
211;0;1;1
212;1;1;0
213;0;1;1
214;0;1;1
215;0;1;0
216;1;1;0
217;0;1;1
218;1;1;0
219;0;1;1
220;1;1;0
221;0;1;1
222;0;1;1
223;0;1;1
224;1;1;0
225;1;1;1
226;0;1;1
227;0;1;1
228;0;1;1
